Period,Date,Time,"CARS, SUVs, Taxi","Heavy Trucks, Trailers, Containers",Medium Buses,Small Buses,"Medium Trucks, Lorry",Large Buses,"Small Trucks, Pickup, Small Van",Total,Classification
DAY 1,21-Jul-22,6:15:00 AM,27,3,4,32,1,1,14,82,Peak am
DAY 1,21-Jul-22,6:30:00 AM,32,5,6,37,2,0,15,97,Peak am
DAY 1,21-Jul-22,6:45:00 AM,38,4,8,46,4,2,12,114,Peak am
DAY 1,21-Jul-22,7:00:00 AM,41,9,9,65,2,6,47,179,Peak am
DAY 1,21-Jul-22,7:15:00 AM,47,11,12,53,4,6,11,144,Peak am
DAY 1,21-Jul-22,7:30:00 AM,60,8,14,61,3,6,38,190,Peak am
DAY 1,21-Jul-22,7:45:00 AM,53,10,8,60,2,1,47,181,Peak am
DAY 1,21-Jul-22,8:00:00 AM,72,7,10,90,4,8,35,226,Peak am
DAY 1,21-Jul-22,8:15:00 AM,40,15,16,140,3,2,34,250,Peak am
DAY 1,21-Jul-22,8:30:00 AM,37,7,23,85,5,8,25,190,Peak am
DAY 1,21-Jul-22,8:45:00 AM,53,4,10,95,1,1,27,191,Peak am
DAY 1,21-Jul-22,9:00:00 AM,38,6,13,110,1,2,12,182,Peak am
DAY 1,21-Jul-22,9:15:00 AM,55,18,12,98,2,4,21,210,Peak am
DAY 1,21-Jul-22,9:30:00 AM,62,18,16,85,5,4,28,218,Peak am
DAY 1,21-Jul-22,9:45:00 AM,83,8,14,75,3,0,29,212,Peak am
DAY 1,21-Jul-22,10:00:00 AM,50,5,5,110,5,1,39,215,Peak am
DAY 1,21-Jul-22,10:15:00 AM,63,7,10,95,8,0,36,219,offpeak am
DAY 1,21-Jul-22,10:30:00 AM,42,8,7,106,5,0,45,213,offpeak am
DAY 1,21-Jul-22,10:45:00 AM,60,11,15,60,7,0,26,179,offpeak am
DAY 1,21-Jul-22,11:00:00 AM,48,6,12,57,8,0,48,179,offpeak am
DAY 1,21-Jul-22,11:15:00 AM,83,14,8,88,12,0,27,232,offpeak am
DAY 1,21-Jul-22,11:30:00 AM,97,15,6,65,6,0,28,217,offpeak am
DAY 1,21-Jul-22,11:45:00 AM,65,17,9,50,6,1,46,194,offpeak am
DAY 1,21-Jul-22,12:00:00 PM,112,16,4,44,7,4,48,235,offpeak am
DAY 1,21-Jul-22,12:15:00 PM,83,26,12,80,8,8,41,258,offpeak pm
DAY 1,21-Jul-22,12:30:00 PM,73,13,7,55,2,0,30,180,offpeak pm
DAY 1,21-Jul-22,12:45:00 PM,82,30,11,58,1,4,44,230,offpeak pm
DAY 1,21-Jul-22,1:00:00 PM,48,10,2,55,5,0,38,158,offpeak pm
DAY 1,21-Jul-22,1:15:00 PM,58,12,8,61,3,2,48,192,offpeak pm
DAY 1,21-Jul-22,1:30:00 PM,65,11,12,53,4,0,16,161,offpeak pm
DAY 1,21-Jul-22,1:45:00 PM,51,10,10,72,8,0,13,164,offpeak pm
DAY 1,21-Jul-22,2:00:00 PM,75,16,15,58,8,3,47,222,offpeak pm
DAY 1,21-Jul-22,2:15:00 PM,62,20,15,60,7,1,29,194,offpeak pm
DAY 1,21-Jul-22,2:30:00 PM,50,17,17,74,5,3,22,188,offpeak pm
DAY 1,21-Jul-22,2:45:00 PM,58,20,15,75,7,0,47,222,offpeak pm
DAY 1,21-Jul-22,3:00:00 PM,88,15,13,81,8,2,26,233,offpeak pm
DAY 1,21-Jul-22,3:15:00 PM,68,28,17,96,10,5,17,241,offpeak pm
DAY 1,21-Jul-22,3:30:00 PM,63,20,15,101,8,7,36,250,offpeak pm
DAY 1,21-Jul-22,3:45:00 PM,60,15,12,90,5,3,26,211,offpeak pm
DAY 1,21-Jul-22,4:00:00 PM,102,20,15,82,8,2,29,258,peak pm
DAY 1,21-Jul-22,4:15:00 PM,93,24,12,60,4,4,28,225,peak pm
DAY 1,21-Jul-22,4:30:00 PM,62,13,10,52,6,1,27,171,peak pm
DAY 1,21-Jul-22,4:45:00 PM,67,15,13,45,3,5,20,168,peak pm
DAY 1,21-Jul-22,5:00:00 PM,71,17,15,39,4,0,23,169,peak pm
DAY 1,21-Jul-22,5:15:00 PM,50,15,8,35,3,6,28,145,peak pm
DAY 1,21-Jul-22,5:30:00 PM,60,10,6,68,3,1,17,165,peak pm
DAY 1,21-Jul-22,5:45:00 PM,64,8,7,51,2,0,30,162,peak pm
DAY 1,21-Jul-22,6:00:00 PM,63,7,10,54,5,3,12,154,peak pm
DAY 2,22-Jul-22,6:15:00 AM,21,4,3,46,11,0,8,93,Peak am
DAY 2,22-Jul-22,6:30:00 AM,20,2,3,71,3,0,5,104,Peak am
DAY 2,22-Jul-22,6:45:00 AM,28,6,1,67,4,0,6,112,Peak am
DAY 2,22-Jul-22,7:00:00 AM,38,2,5,93,6,1,8,153,Peak am
DAY 2,22-Jul-22,7:15:00 AM,48,8,1,91,5,1,14,168,Peak am
DAY 2,22-Jul-22,7:30:00 AM,53,5,5,98,8,1,16,186,Peak am
DAY 2,22-Jul-22,7:45:00 AM,63,2,6,121,12,0,12,216,Peak am
DAY 2,22-Jul-22,8:00:00 AM,76,10,3,105,10,1,14,219,Peak am
DAY 2,22-Jul-22,8:15:00 AM,63,3,3,78,6,0,9,162,Peak am
DAY 2,22-Jul-22,8:30:00 AM,58,6,2,92,3,0,10,171,Peak am
DAY 2,22-Jul-22,8:45:00 AM,56,4,4,87,7,0,13,171,Peak am
DAY 2,22-Jul-22,9:00:00 AM,67,7,5,80,3,0,16,178,Peak am
